# Credit card default data
#
# A data set containing information on customers. The aim here is to predict
# which customers will default based on their credit card debt and income.
#
# Variables:
# default = a factor with levels "No" and "Yes" indicating whether the 
#           customer defaulted on their debt.
# balance = the average balance that the customer has remaining on their 
#           credit card after making their monthly payment
# income = income of customer
#
default,balance,income
No,933,42759
No,536,36259
No,242,41186
No,1027,42042
No,198,58647
No,586,43288
No,830,39718
No,197,35488
No,592,31439
No,332,49756
No,913,29415
No,247,47693
No,579,46305
No,558,62353
No,1061,39174
No,1184,34260
No,1025,33072
No,1080,43368
No,540,26267
No,1449,33836
No,1191,30041
No,565,38203
No,483,35845
No,950,37486
Yes,851,11028
No,982,37748
No,1442,10922
No,1060,56607
No,1155,61794
No,1137,27589
No,414,47811
No,988,25810
No,679,46604
No,1378,51633
No,857,32437
No,1037,44924
No,961,51937
No,276,35623
No,427,30769
No,290,46214
No,935,42326
No,1313,29938
No,525,36121
No,961,30291
Yes,804,5965
No,1221,36961
No,1217,46257
No,629,43205
No,1174,29141
No,1203,12288
No,25,29317
No,853,29484
No,399,40224
No,986,49948
No,584,38216
No,385,25381
No,1051,31559
Yes,1172,10077
No,794,35158
No,419,24002
No,1028,21552
No,1172,34690
No,1753,48250
No,1309,43278
No,941,41560
No,1019,41195
No,434,32905
No,1015,42050
No,75,52766
No,1050,39586
No,49,35155
No,1722,48236
No,1607,48701
No,1180,43914
No,610,40876
No,880,30021
No,1238,29151
No,363,44326
No,919,44928
No,10,33777
Yes,1903,39503
No,419,55003
No,1070,32939
No,1307,56641
No,75,19146
No,66,38927
No,56,54217
No,1057,25124
No,259,51355
No,878,30240
No,919,45316
No,95,27213
No,333,29413
No,198,30971
No,625,41048
No,138,54407
No,788,46186
No,1031,36271
No,1050,30159
No,796,51303
No,436,46072
No,801,36314
Yes,1181,8580
No,1166,23994
No,164,38970
No,1322,47814
No,1284,61526
No,1001,43059
No,250,47602
No,500,38991
No,568,36374
No,783,39224
No,389,18008
No,556,44198
No,1235,48112
No,413,42123
No,683,29269
No,872,48102
No,416,24741
No,254,44612
No,1507,24058
No,901,40849
No,595,46012
No,390,43473
No,1173,36440
No,1102,23218
No,1229,46412
Yes,806,21526
No,1005,59404
No,294,57500
No,485,24570
No,776,34586
No,802,39157
No,552,37573
No,320,57563
No,961,30094
No,272,29774
No,927,33782
No,76,55190
No,1286,37636
No,1472,32478
No,747,42900
No,328,23865
No,111,27370
No,542,57322
No,1201,51741
No,57,18983
No,1107,52765
No,397,55455
No,924,45207
No,602,33203
No,1234,31313
No,406,42642
No,1656,41133
No,188,59661
No,331,34498
No,911,57131
No,391,39762
No,1450,33957
No,820,28960
No,659,54802
No,744,10775
No,343,29556
No,535,44079
No,1208,34858
No,565,39829
No,903,38648
No,1167,52700
Yes,1244,23220
No,2113,34748
No,1296,43313
No,1089,47148
No,825,42314
No,684,37011
No,37,26222
No,904,40683
No,285,17607
No,323,27669
No,414,40877
No,1105,36813
No,0,31935
No,620,13902
No,294,56677
No,1110,69325
No,1223,52903
No,570,54335
No,626,46026
No,834,16909
No,866,44827
No,1555,43902
No,576,51928
No,1142,38723
No,1147,45377
No,435,35455
No,1026,39136
No,691,59562
No,574,40728
No,208,52249
Yes,1753,36403
No,863,36462
No,1144,33395
No,1253,71239
No,624,25558
Yes,1964,36513
No,752,32540
No,954,32640
No,773,66749
No,433,52238
No,798,31617
No,241,56089
No,662,31815
No,741,43016
No,982,41123
No,1570,42781
No,137,45596
No,718,32041
No,562,31193
Yes,2033,33864
No,639,46705
No,634,34291
No,523,43026
No,853,47382
No,1225,39339
No,260,34932
No,1321,50505
No,1444,45089
No,792,30304
No,923,33445
No,81,35888
No,193,34728
No,939,45519
No,1337,30787
Yes,1489,39019
No,581,44601
No,461,43148
Yes,725,17398
No,1032,41674
No,97,44556
No,339,42679
No,616,42437
No,600,30147
No,593,49925
No,787,49433
No,927,48753
No,1175,37463
No,576,54203
No,1386,54404
No,1556,26906
No,1104,52822
Yes,1496,27614
No,375,32531
No,628,51770
No,1304,49372
No,1496,37534
No,829,46061
No,1386,42538
No,1121,35766
No,548,45966
No,814,42462
No,75,52166
No,598,28621
No,1554,35929
No,814,46420
No,1386,42875
No,934,43694
No,614,30834
No,254,53125
No,485,43900
No,1018,52510
No,1102,36555
No,1058,40708
No,353,17626
No,1030,50636
No,1309,35965
No,918,53710
No,638,40324
No,369,38468
No,307,32429
No,1206,43715
No,1080,40505
No,555,40046
No,905,39294
No,443,29811
Yes,2024,37707
No,1517,39368
No,851,44502
No,926,49920
No,250,20684
No,443,37640
No,324,33992
No,741,38661
No,1176,24001
No,284,41244
No,566,39109
No,48,31150
No,777,45083
No,354,65527
No,76,53594
No,840,45995
No,277,27549
No,1595,37092
No,1470,40175
No,891,46612
No,494,51518
No,1029,47945
No,1132,52490
No,965,46218
Yes,2499,36908
No,1507,41932
Yes,702,4104
Yes,1379,26652
No,1233,57182
No,135,35756
No,1374,21785
No,661,55592
No,1428,27426
No,939,39460
No,608,56483
No,1478,46965
No,765,40593
No,110,52106
Yes,1803,6948
No,604,36593
No,441,50902
No,1367,35567
No,1130,32795
No,1077,56862
No,1411,26040
No,862,27356
No,1186,56484
No,902,57100
No,1388,30717
No,1208,37356
No,810,28057
No,1137,49811
No,1542,29375
No,899,63041
No,770,48489
No,842,53779
No,44,30449
No,377,42257
No,265,49216
No,522,37342
No,1682,41867
No,1070,55422
No,376,37926
No,319,49306
No,1124,24902
No,994,34836
No,279,54559
No,1553,44150
No,484,36497
No,536,32994
No,128,27484
Yes,807,15899
No,1351,40947
No,723,42752
No,1102,34247
Yes,1278,21892
No,542,52742
No,402,47176
No,507,51114
No,1160,23498
No,1278,56606
No,371,31140
No,738,51138
No,502,41367
No,1682,30442
No,684,46938
No,336,39707
No,967,35269
No,549,15706
No,1601,17975
No,902,59695
No,1433,41744
No,433,35859
No,406,36750
No,935,56611
No,94,19811
No,717,24016
No,72,39561
No,1195,38453
No,559,55007
No,359,25243
Yes,1423,15836
No,1317,20353
No,1172,34514
No,1453,36828
No,1153,27346
No,1334,57662
No,710,37992
No,731,33127
No,543,31268
No,619,27907
No,469,30367
No,700,32881
No,446,42612
No,571,39683
No,952,44864
No,585,55682
No,174,47750
No,1340,53586
No,917,40194
No,251,25962
No,998,38385
No,828,42246
No,1143,26731
No,199,33513
No,342,41663
No,1576,30548
No,1830,24053
No,369,34526
No,241,40122
No,1272,44896
No,361,49395
No,1464,32024
No,631,30466
No,1624,16054
No,745,44965
No,1439,36171
No,1163,27207
No,1464,34065
No,921,37936
No,129,56946
No,383,15233
No,267,32265
No,429,48110
No,711,51036
No,427,55503
No,873,31472
No,1106,38886
No,678,59417
No,215,33905
No,722,50952
No,580,37278
No,821,34739
No,603,37849
No,728,38431
No,994,26682
No,1097,47235
No,1603,43475
No,1147,30637
No,1342,58050
No,1005,41308
No,963,25063
No,919,43288
No,461,38818
No,614,56951
No,362,39659
No,862,49672
No,1223,68565
No,794,44145
Yes,2221,26924
No,523,38063
Yes,1907,29052
No,1392,32283
No,1349,35870
No,622,51596
No,636,17356
No,680,33192
No,837,27937
No,1633,33456
No,440,24453
No,277,50524
No,1715,22824
No,849,29043
No,794,24973
No,612,39444
No,885,46572
No,636,42452
No,665,32895
No,1100,34281
No,1296,39800
No,468,22943
No,304,44745
No,972,33775
Yes,1758,37153
No,983,40194
No,52,14680
No,402,25011
No,1457,40187
No,773,42678
No,989,31210
No,1073,45705
No,1577,39835
No,840,33977
No,413,43071
No,1184,34991
No,274,27997
No,1725,46397
No,136,42720
No,682,30289
No,458,43135
No,1515,36403
No,816,37763
No,1242,41952
No,932,49215
No,608,46963
No,187,31141
No,736,39538
No,512,43737
No,355,65799
No,1138,24098
No,828,53806
No,1219,51225
No,316,34251
No,153,39503
No,1129,46690
No,938,34185
No,1077,43973
Yes,1575,22537
No,148,43104
Yes,1866,36317
No,923,50800
No,5,28521
No,1198,42969
No,1727,43815
No,1075,30485
No,1099,47625
No,949,45457
No,687,35989
No,694,32579
No,815,28526
No,1032,59556
No,1319,62055
No,1366,51551
No,1033,55487
No,858,54373
No,1156,33960
No,1713,34006
No,633,51149
No,1000,43935
No,971,49044
No,1319,35466
No,286,59577
No,831,39724
No,787,57705
No,111,40675
No,298,27839
Yes,1791,31195
No,883,44207
Yes,1568,26596
No,796,28617
No,653,32438
No,315,44690
No,1610,38756
No,852,57951
No,460,44527
No,1204,41485
Yes,2075,25592
No,1244,37926
No,449,52892
No,127,69542
No,387,24244
Yes,1633,3770
No,1359,24411
No,469,58360
No,111,40087
No,1444,54356
No,397,51560
No,607,36616
No,1708,46417
No,957,53703
No,860,33741
No,1033,31152
No,835,51471
No,188,35074
No,506,43631
No,497,35956
No,1560,37227
No,392,44983
No,1066,39719
No,524,48092
No,790,39199
No,805,38222
No,1256,45142
No,655,44256
No,717,51528
No,686,32318
No,1530,29479
No,879,29697
No,738,37273
No,1647,49156
No,215,40399
No,991,56141
No,1143,35773
Yes,1532,29525
No,1861,39551
No,1101,27781
No,542,43873
No,1536,30636
No,1333,33783
No,1049,40916
No,12,32670
No,699,34277
No,855,48654
No,62,28661
No,978,45005
No,1685,60890
No,1258,21679
No,672,53375
No,63,38493
No,686,28953
No,583,40369
No,809,32316
No,1078,17705
No,418,31206
No,1301,42494
No,897,46329
No,137,13586
No,29,38871
No,283,35446
No,859,19072
No,864,27690
No,1226,42203
No,696,38028
No,1717,39543
No,331,11732
No,133,34579
No,421,33293
No,1058,27196
Yes,1972,21574
No,790,43646
No,132,40159
No,906,44627
No,127,49736
No,1698,48596
No,711,40508
No,327,52697
No,353,59373
No,439,47899
No,1030,40711
No,1113,51458
No,1341,40200
Yes,1570,10021
No,1384,27738
No,746,42762
No,910,41916
No,196,57397
No,866,41365
No,761,44852
No,1085,39275
No,115,27365
No,795,52507
No,1093,28811
No,944,48198
Yes,1861,42087
No,901,33131
No,196,26613
No,1181,29182
No,1709,34891
No,248,36257
No,386,45776
No,527,35708
No,1547,51162
No,955,47520
No,818,35902
No,332,46854
Yes,1457,38939
No,734,33240
No,329,48134
No,1232,35069
No,847,28539
No,811,55120
No,800,51731
No,1263,68579
No,770,49857
No,1181,35124
No,441,39210
No,922,38341
No,1033,66305
No,1047,40822
No,571,47021
No,843,33898
No,850,44547
No,1136,42150
No,136,39926
No,424,36783
No,300,28918
No,283,39263
No,664,53102
No,116,47520
No,800,37716
No,640,52414
No,877,27405
No,751,50910
No,1121,29614
No,389,22582
No,862,58030
No,1079,38864
Yes,1893,19766
No,337,55853
No,1142,45581
Yes,1310,17694
No,955,50139
No,1058,45515
No,381,28265
No,793,35556
No,1079,54420
No,38,37187
No,756,36514
No,57,56245
No,1190,30316
No,1337,51508
No,1212,42778
No,319,50069
No,336,38596
No,934,31043
No,812,42721
No,1185,37938
No,94,36304
No,995,33002
No,1006,44564
No,332,47780
No,967,23279
No,132,26878
No,814,30975
No,529,38815
No,743,40945
No,28,45541
No,1300,44215
No,907,27075
No,1451,53557
No,1028,48558
No,1047,40975
No,1453,28989
Yes,1859,21400
No,832,37373
No,923,34623
No,475,41289
No,1789,27427
No,660,21835
No,1244,40036
No,947,41238
No,683,33026
No,1190,38554
No,171,42749
No,1037,36035
No,125,65211
No,667,44683
No,1111,50301
No,1142,33740
No,779,44257
No,1412,47728
No,986,52009
No,1252,32721
No,149,33398
No,465,43481
No,1031,41022
Yes,1478,18337
No,789,35798
No,1370,40101
No,397,41970
No,682,30737
No,339,44923
No,927,44369
No,635,32595
No,834,40526
No,551,45348
No,496,24845
No,661,22610
No,136,20936
No,480,26084
No,231,32799
No,94,42931
No,1324,46875
No,933,32105
No,725,47549
No,247,40953
No,1051,23859
No,700,41985
No,321,36275
No,763,40978
No,809,34543
No,1218,43931
No,1310,47432
No,922,31554
No,630,60230
No,78,31050
Yes,1773,28365
No,960,53419
No,665,56678
No,110,33419
Yes,1090,6307
No,1426,34016
No,891,35862
No,1796,31863
No,238,38230
No,1353,43889
No,271,34259
Yes,1170,33621
No,840,38738
No,434,57146
No,605,58469
No,429,36980
No,1663,36692
No,683,33175
No,599,42584
No,1088,32618
No,911,38630
No,538,44654
No,722,21163
No,811,42185
No,776,68180
No,285,39399
Yes,855,18430
No,1057,54653
No,690,24085
No,601,41491
No,640,49977
No,766,35122
No,220,24019
No,47,38293
No,169,57263
No,1558,46030
Yes,1891,21291
No,452,39991
No,574,31633
No,572,43807
No,947,26619
No,524,43929
No,1146,44840
No,1647,39347
No,1216,43656
No,1185,53897
No,1416,40371
No,432,46658
No,775,33782
No,942,24683
No,509,39546
No,1389,39708
Yes,1136,10945
No,196,41973
No,1349,40549
No,662,43157
No,719,21045
No,451,39850
No,1046,47219
No,1109,29760
No,698,33265
No,1329,51721
No,1262,26768
No,605,39002
No,551,35648
No,894,36514
No,1164,46174
No,1666,18916
No,413,49061
No,595,29843
No,178,28786
No,1004,36896
No,1195,34334
No,516,51073
No,1242,37981
No,1087,42452
No,281,29999
No,956,48658
No,1093,18844
No,734,22343
No,794,45090
No,815,39149
No,800,43547
Yes,1049,5715
Yes,1808,27937
No,833,36330
No,794,32432
No,632,46841
No,108,45265
No,1040,41395
No,67,45751
No,438,40577
No,709,21729
No,775,41858
No,611,52124
No,845,34217
No,182,37725
No,273,63566
No,805,40237
No,227,33015
No,692,23958
No,1674,54658
No,339,44890
No,1088,38171
No,29,35415
No,408,35985
No,1215,38225
No,404,55459
No,1378,48153
No,307,43504
No,1569,42415
No,702,47812
No,1110,40237
No,737,50545
No,672,40237
No,1298,42220
No,489,37339
No,998,50288
No,486,14214
No,730,42685
No,152,41847
No,816,48788
No,569,28123
No,590,24855
No,1140,36364
Yes,2006,22193
No,1391,51882
No,1339,32501
No,79,37605
No,765,49101
No,603,56017
No,835,42469
No,1392,30153
Yes,1824,40410
No,1010,39457
No,1116,37074
No,428,36341
No,147,44482
No,939,55360
No,1139,41869
No,501,31354
No,1109,64213
No,688,40354
No,119,35975
No,635,49681
No,615,38162
No,458,36211
No,771,42674
No,58,44839
Yes,1194,13526
No,768,35951
No,336,46280
No,853,42774
No,744,33765
No,293,38528
No,756,52778
No,465,42358
No,710,46363
No,427,34193
No,612,60323
No,1322,47893
No,674,25013
Yes,1135,36046
No,114,38513
No,1164,32468
No,134,49516
No,897,36297
No,943,27737
No,954,40908
No,814,29631
No,1388,26863
No,657,34229
Yes,1226,9763
No,310,31446
No,205,47284
No,414,31466
No,377,41902
No,777,54663
No,1096,41016
No,130,46094
No,1332,27666
No,177,53545
No,937,27175
No,269,48006
No,596,32984
Yes,1245,5026
No,405,28493
No,849,26971
No,988,32459
Yes,1562,12030
No,1222,40865
No,1057,45099
No,368,32108
No,703,38419
No,1018,39893
No,240,25042
No,1278,35620
No,520,30547
No,934,40378
No,1241,46148
No,574,54428
No,486,54794
No,455,41379
No,1110,39312
No,1225,49090
No,286,28838
No,1445,40365
No,1031,38199
No,1337,41530
No,464,39627
No,949,24095
No,627,49207
No,350,45355
Yes,793,3054
No,848,33199
No,242,47843
No,617,31925
No,733,36725
No,1101,50237
No,666,55093
No,175,55044
No,124,51266
No,345,38464
No,955,42964
No,1629,44912
No,913,31842
No,1307,49037
No,1042,58235
No,1265,44359
No,1257,23100
No,1047,45718
No,433,22987
No,563,43029
No,721,41411
No,742,24393
No,1071,19529
No,1195,38223
No,270,38650
No,595,31419
Yes,623,15230
No,1267,36785
No,1092,34705
No,1141,25117
No,556,39707
No,1271,42533
No,333,61509
No,1175,23942
No,474,35133
Yes,1025,14171
No,842,38023
No,591,52978
No,915,52871
No,1131,35072
Yes,1007,13739
No,839,43909
No,987,32386
No,916,42202
No,1264,25695
No,441,47707
No,349,46698
No,424,37980
No,682,31154
No,1153,20586
No,1470,26137
No,1007,28245
No,667,44863
No,299,39600
No,909,48358
Yes,1038,12974
No,203,46518
Yes,1558,28780
No,1202,45383
No,1052,47529
No,642,18351
No,884,41668
No,431,58552
No,31,35961
Yes,1112,9962
No,386,44651
No,1717,38791
No,745,34705
No,495,40378
No,164,58221
No,1129,40689
No,85,53760
No,681,48893
No,82,27358
No,603,33888
No,176,54799
No,138,44747
No,160,30568
Yes,1257,7574
No,184,51149
No,975,50751
No,424,35676
No,1478,42012
No,904,46972
No,989,28486
No,1311,32798
No,289,45559
No,23,59536
No,26,22720
No,1335,30115
No,1194,34361
No,1048,45182
No,327,29816
No,772,38854
No,975,36763
No,310,28140
No,287,18402
No,510,49345
No,224,23513
No,1407,22807
No,1179,45545
No,1298,39143
No,627,37616
No,907,27632
No,872,40524
No,620,52537
No,380,30890
No,1073,51669
No,883,32311
Yes,2024,16883
No,1060,27870
No,870,33589
No,1598,36525
No,1352,43630
No,443,38947
No,1064,41157
No,214,42759
No,1259,33571
No,507,49069
No,38,38702
No,1238,37387
No,556,46585
No,748,44030
No,774,40428
No,745,35068
No,953,51257
No,998,37817
No,522,48700
No,83,27627
No,219,31491
No,276,38722
No,621,39099
No,415,38031
No,1390,48690
No,494,52242
No,143,44847
No,1280,30274
Yes,1648,42284
No,611,22635
No,355,55634
No,786,52694
No,773,47161
No,751,25014
No,1434,42799
No,1037,36623
No,765,37869
No,590,28238
No,754,41342
No,912,41249
No,312,39694
Yes,1374,22915
No,771,44510
No,1016,31821
No,421,61655
No,1125,33564
No,857,28755
No,364,46156
No,1158,32220
No,993,28502
Yes,1435,12331
No,258,39477
No,1057,53081
No,695,14151
No,1547,32929
No,429,45571
No,943,30179
No,1087,54961
No,15,32320
No,836,40179
No,1495,42280
No,431,37773
No,1335,45847
No,1141,27914
No,795,38710
No,1005,40615
No,481,49011
No,427,27261
No,890,43644
No,1168,57256
No,835,28553
No,1604,25802
No,838,55082
No,1272,34571
No,982,23637
No,488,46480
No,1046,47598
No,1534,42889
No,710,37303
No,378,46729
No,995,39316
No,1241,57304
No,737,37031
No,1201,46478
No,1161,52064
No,806,43384
No,1155,34540
No,613,38632
No,624,46188
No,1001,46469
No,1156,38296
No,637,32886
No,741,31104
No,1170,39386
No,1088,33673
No,609,26463
No,513,39632
No,561,37885
No,245,35132
No,1081,34138
No,492,42317
No,1350,50645
No,358,42499
No,331,45105
No,1379,43998
No,1421,34126
No,570,30615
No,759,32067
No,847,41651
Yes,1433,20238
No,355,30954
No,1051,30073
No,887,30564
No,688,20099
No,1257,40810
No,1176,41448
No,609,22556
Yes,1411,11345
No,697,38713
No,559,61188
No,715,49473
No,786,42888
No,846,42799
No,861,38111
No,1602,27885
No,956,10837
No,1044,31524
No,589,47722
No,951,33327
No,1189,36224
No,1709,35291
No,251,51662
No,681,26426
No,1333,39197
No,859,29150
No,265,32276
No,754,31592
No,1175,47684
No,1389,31022
No,410,37328
No,59,34162
No,886,24466
No,771,40991
No,1022,37095
No,848,24951
No,1596,42994
No,1307,48800
No,933,35858
No,1217,52378
No,526,44242
No,153,36813
No,906,47271
No,1069,41690
No,965,36677
No,494,43524
No,836,44234
No,480,57068
No,638,52348
No,1475,42243
No,887,55752
No,1376,43234
No,1305,45163
No,226,54535
No,1261,39985
No,923,52206
No,413,44650
No,693,54493
No,1610,40499
No,1113,27111
No,1163,44425
No,924,26398
Yes,1283,17688
No,726,49337
No,659,47942
No,292,48512
No,471,45573
No,856,56220
No,919,48161
No,1251,37882
Yes,1067,32362
No,694,36570
No,520,39705
No,422,37324
No,310,56100
No,969,33412
No,1296,48682
No,1037,38490
No,979,25742
No,965,47987
No,1131,43937
No,384,41311
No,1008,20327
No,653,41162
No,803,52870
No,413,33923
No,943,35282
No,1193,39504
No,1493,41005
No,1376,22318
No,1060,39757
No,532,30851
No,906,37310
No,506,35333
No,442,54997
No,962,37073
Yes,1789,33559
No,76,27284
No,1067,53996
No,253,40974
No,1057,55409
No,180,37728
No,694,36723
No,965,37705
No,301,51424
No,1265,47298
No,559,40336
No,1184,53600
No,390,27330
No,647,55523
No,71,40013
No,91,42452
No,1230,51717
No,202,27925
No,947,38506
No,419,34333
No,1661,53754
No,391,24972
No,613,34745
No,1253,33876
No,709,55676
No,267,16515
No,782,49457
No,948,40740
No,646,45697
Yes,1008,2592
No,134,28492
No,1237,40669
No,743,40085
No,1054,50900
No,960,29850
No,1259,33683
No,443,36547
No,1605,26126
No,833,25106
No,817,40088
No,882,43726
No,1154,48400
No,1036,35261
No,1516,46393
No,232,40369
No,682,17993
No,802,47444
No,144,38015
No,1087,32909
No,660,58957
No,297,22955
Yes,1804,19884
No,1266,29699
No,29,36941
No,751,49150
No,805,57386
No,1094,29573
No,484,44336
No,1349,48014
No,159,20575
No,1281,53676
No,709,38295
No,257,49478
No,1322,45582
No,1245,36898
No,340,58747
No,241,30172
No,1511,47684
No,397,52175
No,650,47122
No,613,24368
No,1424,37846
No,338,52192
No,478,39834
No,342,32155
No,840,45317
No,646,44402
No,1755,35032
No,499,51690
No,588,30860
No,917,48228
No,764,52938
No,944,44444
No,878,25588
